Length of author name,Length of author email,Length of commit message,Number of tokens in commit message
14,24,18,5
14,24,42,7
13,22,149,23
14,24,32,6
5,15,53,8
10,18,94,11
10,18,41,5
10,18,71,8
10,18,64,9
10,18,74,10
10,18,49,7
10,18,45,8
13,14,72,11
10,18,40,5
10,18,33,5
10,18,52,6
10,18,49,7
10,18,38,5
10,18,69,7
10,18,40,5
10,18,55,6
10,18,14,2
10,18,22,3
10,18,46,6
10,18,53,7
13,23,51,10
13,23,59,13
14,42,68,15
13,23,78,13
11,27,333,56
17,27,55,12
17,27,49,9
14,26,19,3
14,26,19,3
14,26,104,20
14,26,10,2
14,26,23,5
14,26,175,25
14,26,36,4
14,26,46,7
14,26,25,4
14,26,35,7
14,26,30,5
14,26,39,5
15,22,40,6
14,26,30,5
14,26,32,5
14,26,233,48
14,26,49,7
14,26,30,5
14,26,2045,391
14,26,30,4
14,26,28,4
14,26,37,6
15,22,35,5
14,26,35,7
14,26,79,12
14,26,25,4
14,26,43,6
14,26,30,6
16,19,22,4
10,13,33,7
14,26,87,13
14,26,49,8
14,26,19,3
14,26,22,4
15,22,125,17
14,26,2308,430
14,26,31,5
14,26,183,30
12,22,430,64
6,42,261,43
6,42,255,44
8,22,14,2
8,22,26,3
8,22,18,3
8,22,23,2
8,22,13,3
8,22,43,7
8,22,18,3
8,22,75,14
8,22,8,1
8,22,64,13
8,22,26,5
10,20,50,7
15,25,71,13
13,20,236,43
21,16,107,19
10,20,249,40
15,25,62,10
13,20,165,29
15,25,40,6
15,25,48,8
13,20,140,27
7,19,41,7
7,19,150,21
7,19,37,7
7,19,229,41
7,19,220,33
7,19,45,6
7,19,83,13
7,19,183,25
7,19,286,50
7,19,68,12
7,19,233,38
7,19,739,121
14,26,596,99
12,24,483,94
10,26,16,2
19,17,106,20
10,26,18,2
13,18,14,2
12,13,44,7
14,24,92,14
14,24,88,14
14,24,52,9
14,24,81,13
14,24,20,4
14,24,94,15
17,18,485,87
14,23,208,31
11,15,55,10
12,19,58,14
12,19,145,28
14,28,111,10
15,29,131,12
14,28,111,10
6,14,32,7
14,28,112,10
14,28,111,10
6,14,11,3
